,CHAPTER,CHAPTER NAME SANSKRIT,CHAPTER NAME ENGLISH,VERSE NUMBER,SANSKRIT VERSE,SANSKRIT TRANSLITERATION,WORD TRANSLATION,SANSKRIT ENGLISH,VERSE TRANSLATION,VERSE COMMENTARY
0,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,1,श्रीभगवानुवाच |परं भूय: प्रवक्ष्यामि ज्ञानानां ज्ञानमुत्तमम् |यज्ज्ञात्वा मुनय: सर्वे परां सिद्धिमितो गता: || 1||,śhrī-bhagavān uvāchaparaṁ bhūyaḥ pravakṣhyāmi jñānānāṁ jñānam uttamamyaj jñātvā munayaḥ sarve parāṁ siddhim ito gatāḥ,śhrī-bhagavān uvācha—the Divine Lord said;param—supreme;bhūyaḥ—again;pravakṣhyāmi—I shall explain;jñānānām—of all knowledge;jñānam uttamam—the supreme wisdom;yat—which;jñātvā—knowing;munayaḥ—saints;sarve—all;parām—highest;siddhim—perfection;itaḥ—through this;gatāḥ—attained,shri-bhagavan uvachaparam bhuyah pravakshyami jnananam jnanam uttamamyaj jnatva munayah sarve param siddhim ito gatah,"BG 14.1:The Divine Lord said: I shall once again explain to you the supreme wisdom, the best of all knowledge; by knowing which, all the great saints attained the highest perfection.","In the previous chapter, Shree Krishna had explained that all life forms are a combination of soul and matter. He had also elucidated thatprakṛiti(material nature) is responsible for creating the field of activities for thepuruṣh(soul). He added that this does not happen independently, but under the direction of the Supreme Lord, who is also seated within the body of the living being. In this chapter, he goes on to elaborate in detail about the three-fold qualities of material nature (theguṇas). By gaining this knowledge and imbibing it into our consciousness as realized wisdom, we can ascend to the highest perfection."
1,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,2,इदं ज्ञानमुपाश्रित्य मम साधर्म्यमागता: |सर्गेऽपि नोपजायन्ते प्रलये न व्यथन्ति च || 2||,idaṁ jñānam upāśhritya mama sādharmyam āgatāḥsarge ’pi nopajāyante pralaye na vyathanti cha,idam—this;jñānam—wisdom;upāśhritya—take refuge in;mama—mine;sādharmyam—of similar nature;āgatāḥ—having attained;sarge—at the time of creation;api—even;na—not;upajāyante—are born;pralaye—at the time of dissolution;na-vyathanti—they will not experience misery;cha—and,idam jnanam upashritya mama sadharmyam agatahsarge ’pi nopajayante pralaye na vyathanti cha,BG 14.2:Those who take refuge in this wisdom will be united with Me. They will not be reborn at the time of creation nor destroyed at the time of dissolution.,"Shree Krishna assures Arjun that those who equip themselves with the knowledge he is about to bestow will no longer have to accept repeated confinement in a mother’s womb. They will also not be obliged to stay in a state of suspended animation in the womb of God at the time of the universal dissolution, or be reborn along with the next creation. The threeguṇas(modes of material nature) are indeed the cause of bondage, and knowledge of them will illumine the path out of bondage.Shree Krishna repeatedly uses the strategy of proclaiming the results of what he is about to teach, to bring his student to rapt attention. The wordsna vyathantimean “they will not experience misery.” The wordsādharmyammeans they will acquire “a similar divine nature” as God himself. When the soul is released from the bondage of the material energy, it comes under the dominion of God’s divineYogmayaenergy. The divine energy equips it with God’s divine knowledge, love, and bliss. As a result, the soul becomes of the nature of God—it acquires divine godlike qualities."
2,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,3,मम योनिर्महद् ब्रह्म तस्मिन्गर्भं दधाम्यहम् |सम्भव: सर्वभूतानां ततो भवति भारत || 3||सर्वयोनिषु कौन्तेय मूर्तय: सम्भवन्ति या: |तासां ब्रह्म महद्योनिरहं बीजप्रद: पिता || 4||,mama yonir mahad brahma tasmin garbhaṁ dadhāmy ahamsambhavaḥ sarva-bhūtānāṁ tato bhavati bhāratasarva-yoniṣhu kaunteya mūrtayaḥ sambhavanti yāḥtāsāṁ brahma mahad yonir ahaṁ bīja-pradaḥ pitā,"mama—my;yoniḥ—womb;mahat brahma—the total material substance, prakṛiti;tasmin—in that;garbham—womb;dadhāmi—impregnate;aham—I;sambhavaḥ—birth;sarva-bhūtānām—of all living beings;tataḥ—thereby;bhavati—becomes;bhārata—Arjun, the son of Bharat;sarva—all;yoniṣhu—species of life;kaunteya—Arjun, the son of Kunti;mūrtayaḥ—forms;sambhavanti—are produced;yāḥ—which;tāsām—of all of them;brahma-mahat—great material nature;yoniḥ—womb;aham—I;bīja-pradaḥ—seed-giving;pitā—father",mama yonir mahad brahma tasmin garbham dadhamy ahamsambhavah sarva-bhutanam tato bhavati bharatasarva-yonishu kaunteya murtayah sambhavanti yahtasam brahma mahad yonir aham bija-pradah pita,"BG 14.3-4:The total material substance,prakṛiti, is the womb. I impregnate it with the individual souls, and thus all living beings are born. O son of Kunti, for all species of life that are produced, the material nature is the womb, and I am the seed-giving Father.","As explained in chapters 7 and 8, the material creation follows cycles of creation, maintenance, and dissolution. During dissolution, souls who arevimukh(have their backs) toward God remain in a state of suspended animation within the body of Maha Vishnu. The material energy,prakṛiti, also lies unmanifest in God’smahodar(big stomach). When he desires to activate the process of creation, he glances atprakṛiti. It then begins to unwind, and sequentially, the entitiesmahān, ahankār, pañch-tanmātrās,andpañch-mahābhūtaare created. Also, with the help of the secondary creator Brahma, the material energy creates various life forms, and God casts the souls into appropriate bodies, determined by their past karmas. Thus, Shree Krishna states thatprakṛitiis like the womb and the souls are like the sperms. He places the souls in the womb of Mother Nature to give birth to multitudes of living beings. Sage Ved Vyas also describes it in the same fashion in Śhrīmad Bhāgavatam:daivāt kṣhubhita-dharmiṇyāṁ svasyāṁ yonau paraḥ pumānādhatta vīryaṁ sāsūta mahat-tattvaṁ hiraṇmayam(3.26.19)[v1]“In the womb of the material energy the Supreme Lord impregnates the souls. Then, inspired by the karmas of the individual souls, the material nature gets to work to create suitable life forms for them.” He does not cast all souls into the material world, rather only those who arevimukh."
3,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,4,मम योनिर्महद् ब्रह्म तस्मिन्गर्भं दधाम्यहम् |सम्भव: सर्वभूतानां ततो भवति भारत || 3||सर्वयोनिषु कौन्तेय मूर्तय: सम्भवन्ति या: |तासां ब्रह्म महद्योनिरहं बीजप्रद: पिता || 4||,mama yonir mahad brahma tasmin garbhaṁ dadhāmy ahamsambhavaḥ sarva-bhūtānāṁ tato bhavati bhāratasarva-yoniṣhu kaunteya mūrtayaḥ sambhavanti yāḥtāsāṁ brahma mahad yonir ahaṁ bīja-pradaḥ pitā,"mama—my;yoniḥ—womb;mahat brahma—the total material substance, prakṛiti;tasmin—in that;garbham—womb;dadhāmi—impregnate;aham—I;sambhavaḥ—birth;sarva-bhūtānām—of all living beings;tataḥ—thereby;bhavati—becomes;bhārata—Arjun, the son of Bharat;sarva—all;yoniṣhu—species of life;kaunteya—Arjun, the son of Kunti;mūrtayaḥ—forms;sambhavanti—are produced;yāḥ—which;tāsām—of all of them;brahma-mahat—great material nature;yoniḥ—womb;aham—I;bīja-pradaḥ—seed-giving;pitā—father",mama yonir mahad brahma tasmin garbham dadhamy ahamsambhavah sarva-bhutanam tato bhavati bharatasarva-yonishu kaunteya murtayah sambhavanti yahtasam brahma mahad yonir aham bija-pradah pita,"BG 14.3-4:The total material substance,prakṛiti, is the womb. I impregnate it with the individual souls, and thus all living beings are born. O son of Kunti, for all species of life that are produced, the material nature is the womb, and I am the seed-giving Father.","As explained in chapters 7 and 8, the material creation follows cycles of creation, maintenance, and dissolution. During dissolution, souls who arevimukh(have their backs) toward God remain in a state of suspended animation within the body of Maha Vishnu. The material energy,prakṛiti, also lies unmanifest in God’smahodar(big stomach). When he desires to activate the process of creation, he glances atprakṛiti. It then begins to unwind, and sequentially, the entitiesmahān, ahankār, pañch-tanmātrās,andpañch-mahābhūtaare created. Also, with the help of the secondary creator Brahma, the material energy creates various life forms, and God casts the souls into appropriate bodies, determined by their past karmas. Thus, Shree Krishna states thatprakṛitiis like the womb and the souls are like the sperms. He places the souls in the womb of Mother Nature to give birth to multitudes of living beings. Sage Ved Vyas also describes it in the same fashion in Śhrīmad Bhāgavatam:daivāt kṣhubhita-dharmiṇyāṁ svasyāṁ yonau paraḥ pumānādhatta vīryaṁ sāsūta mahat-tattvaṁ hiraṇmayam(3.26.19)[v1]“In the womb of the material energy the Supreme Lord impregnates the souls. Then, inspired by the karmas of the individual souls, the material nature gets to work to create suitable life forms for them.” He does not cast all souls into the material world, rather only those who arevimukh."
4,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,5,सत्त्वं रजस्तम इति गुणा: प्रकृतिसम्भवा: |निबध्नन्ति महाबाहो देहे देहिनमव्ययम् || 5||,sattvaṁ rajas tama iti guṇāḥ prakṛiti-sambhavāḥnibadhnanti mahā-bāho dehe dehinam avyayam,sattvam—mode of goodness;rajaḥ—mode of passion;tamaḥ—mode of ignorance;iti—thus;guṇāḥ—modes;prakṛiti—material nature;sambhavāḥ—consists of;nibadhnanti—bind;mahā-bāho—mighty-armed one;dehe—in the body;dehinam—the embodied soul;avyayam—eternal,sattvam rajas tama iti gunah prakriti-sambhavahnibadhnanti maha-baho dehe dehinam avyayam,"BG 14.5:O mighty-armed Arjun, the material energy consists of threeguṇas(modes)—sattva(goodness),rajas(passion), andtamas(ignorance). These modes bind the eternal soul to the perishable body.","Having explained that all life-forms are born frompuruṣhandprakṛiti, Shree Krishna now explains in the next fourteen verses howprakṛitibinds the soul. Although it is divine, its identification with the body ties it to material nature. The material energy possess threeguṇas—goodness, passion, and ignorance. Hence the body, mind, and intellect that are made fromprakṛitialso possess these three modes.Consider the example of three-color printing. If any one of the colors is released in excess by the machine on the paper, then the picture acquires a hue of that color. Similarly,prakṛitihas the ink of the three colors. Based upon one’s internal thoughts, the external circumstances, pastsanskārs, and other factors, one or the other of these modes becomes dominant for that person. And the mode that predominates creates its corresponding shade upon that person’s personality. Hence, the soul is swayed by the influence of these dominating modes. Shree Krishna now describes the impact of these modes upon the living being."
5,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,6,तत्र सत्त्वं निर्मलत्वात्प्रकाशकमनामयम् |सुखसङ्गेन बध्नाति ज्ञानसङ्गेन चानघ || 6||,tatra sattvaṁ nirmalatvāt prakāśhakam anāmayamsukha-saṅgena badhnāti jñāna-saṅgena chānagha,"tatra—amongst these;sattvam—mode of goodness;nirmalatvāt—being purest;prakāśhakam—illuminating;anāmayam—healthy and full of well-being;sukha—happiness;saṅgena—attachment;badhnāti—binds;jñāna—knowledge;saṅgena—attachment;cha—also;anagha—Arjun, the sinless one",tatra sattvam nirmalatvat prakashakam anamayamsukha-sangena badhnati jnana-sangena chanagha,"BG 14.6:Amongst these,sattva guṇa, the mode of goodness, being purer than the others, is illuminating and full of well-being. O sinless one, it binds the soul by creating attachment for a sense of happiness and knowledge.","The wordprakāśhakammeans “illuminating.” The wordanāmayammeans “healthy and full of well-being.” By extension, it also means “of peaceful quality,” devoid of any inherent cause for pain, discomfort, or misery. The mode of goodness is serene and illuminating. Thus,sattva guṇaengenders virtue in one’s personality and illuminates the intellect with knowledge. It makes a person become calm, satisfied, charitable, compassionate, helpful, serene, and tranquil. It also nurtures good health and freedom from sickness. While the mode of goodness creates an effect of serenity and happiness, attachment to them itself binds the soul to material nature.Let us understand this through an example. A traveler was passing through a forest, when three robbers attacked him. The first said, “Let us kill him and steal all his wealth.” The second said, “No, let us not kill him. We will simply bind him, and take away his possessions.” Following the advice of the second robber, they tied him up in ropes and stole his wealth. When they had gone some distance away, the third robber returned. He opened the ropes of the traveler, and took him to the edge of the forest. He showed the way out, and said, “I cannot go out myself, but if you follow this path, you will be able to get out of the forest.”The first robber wastamo guṇa, the mode of ignorance, which literally wants to kill the soul, by degrading it into sloth, languor, and nescience. The second robber wasrajo guṇa, the mode of passion, which excites the passions of the living being, and binds the soul in innumerable worldly desires. The third robber wassattva guṇa, the mode of goodness, which reduces the vices of the living being, eases the material discomfort and puts the soul on the path of virtue. Yet, evensattva guṇais within the realm of material nature. We must not get attached to it; instead, we must use it to step up to the transcendental platform.Beyond these three, isśhuddha sattva, the transcendental mode of goodness. It is the mode of the divine energy of God that is beyond material nature. When the soul becomes God-realized, by his grace, God bestowsśhuddha sattvaupon the soul, making the senses, mind, and intellect divine."
6,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,7,रजो रागात्मकं विद्धि तृष्णासङ्गसमुद्भवम् |तन्निबध्नाति कौन्तेय कर्मसङ्गेन देहिनम् || 7||,rajo rāgātmakaṁ viddhi tṛiṣhṇā-saṅga-samudbhavamtan nibadhnāti kaunteya karma-saṅgena dehinam,"rajaḥ—mode of passion;rāga-ātmakam—of the nature of passion;viddhi—know;tṛiṣhṇā—desires;saṅga—association;samudbhavam—arises from;tat—that;nibadhnāti—binds;kaunteya—Arjun, the son of Kunti;karma-saṅgena—through attachment to fruitive actions;dehinam—the embodied soul",rajo ragatmakam viddhi trishna-sanga-samudbhavamtan nibadhnati kaunteya karma-sangena dehinam,"BG 14.7:O Arjun,rajo guṇais of the nature of passion. It arises from worldly desires and affections, and binds the soul through attachment to fruitive actions.","Shree Krishna now explains the working ofrajo guṇa, and how it binds the soul to material existence. The Patañjali Yog Darśhan describes material activity as the primary manifestation ofrajo guṇa. Here, Shree Krishna describes its principal manifestation as attachment and desire.The mode of passion fuels the lust for sensual enjoyment. It inflames desires for mental and physical pleasures. It also promotes attachment to worldly things. Persons influenced byrajo guṇaget engrossed in worldly pursuits of status, prestige, career, family, and home. They look on these as sources of pleasure and are motivated to undertake intense activity for the sake of these. In this way, the mode of passion increases desires, and these desires further fuel an increase of the mode of passion. They both nourish each other and trap the soul in worldly life.The way to break out of this is to engage inkarmyog, i.e. to begin offering the results of one’s activities to God. This creates detachment from the world, and pacifies the effect ofrajo guṇa."
7,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,8,तमस्त्वज्ञानजं विद्धि मोहनं सर्वदेहिनाम् |प्रमादालस्यनिद्राभिस्तन्निबध्नाति भारत || 8||,tamas tv ajñāna-jaṁ viddhi mohanaṁ sarva-dehināmpramādālasya-nidrābhis tan nibadhnāti bhārata,"tamaḥ—mode of ignorance;tu—but;ajñāna-jam—born of ignorance;viddhi—know;mohanam—illusion;sarva-dehinām—for all the embodied souls;pramāda—negligence;ālasya—laziness;nidrābhiḥ—sleep;tat—that;nibadhnāti—binds;bhārata—Arjun, the son of Bharat",tamas tv ajnana-jam viddhi mohanam sarva-dehinampramadalasya-nidrabhis tan nibadhnati bharata,"BG 14.8:O Arjun,tamo guṇa, which is born of ignorance, is the cause of illusion for the embodied souls. It deludes all living beings through negligence, laziness, and sleep.","Tamo guṇais the antithesis ofsattva guṇa. Persons influenced by it get pleasure through sleep, laziness, intoxication, violence, and gambling. They lose their discrimination of what is right and what is wrong, and do not hesitate in resorting to immoral behavior for fulfilling their self-will. Doing their duty becomes burdensome to them and they neglect it, becoming more inclined to sloth and sleep. In this way, the mode of ignorance leads the soul deeper into the darkness of ignorance. It becomes totally oblivious of its spiritual identity, its goal in life, and the opportunity for progress that the human form provides."
8,14,Guṇa Traya Vibhāg Yog,Yog through Understanding the Three Modes of Material Nature,9,सत्त्वं सुखे सञ्जयति रज: कर्मणि भारत |ज्ञानमावृत्य तु तम: प्रमादे सञ्जयत्युत || 9||,sattvaṁ sukhe sañjayati rajaḥ karmaṇi bhāratajñānam āvṛitya tu tamaḥ pramāde sañjayaty uta,"sattvam—mode of goodness;sukhe—to happiness;sañjayati—binds;rajaḥ—mode of passion;karmaṇi—toward actions;bhārata—Arjun, the son of Bharat;jñānam—wisdom;āvṛitya—clouds;tu—but;tamaḥ—mode of ignorance;pramāde—to delusion;sañjayati—binds;uta—indeed",sattvam sukhe sanjayati rajah karmani bharatajnanam avritya tu tamah pramade sanjayaty uta,BG 14.9:Sattvabinds one to material happiness;rajasconditions the soul toward actions; andtamasclouds wisdom and binds one to delusion.,"In the mode of goodness, the miseries of material existence reduce, and worldly desires become subdued. This gives rise to a feeling of contentment with one’s condition. This is a good thing, but it can have a negative side too. For instance, those who experience pain in the world and are disturbed by the desires in their mind feel impelled to look for a solution to their problems, and this impetus sometimes brings them to the spiritual path. However, those in goodness can easily become complacent and feel no urge to progress to the transcendental platform. Also,sattva guṇaillumines the intellect with knowledge. If this is not accompanied by spiritual wisdom, then knowledge results in pride and that pride comes in the way of devotion to God. This is often seen in the case of scientists, academicians, scholars, etc. The mode of goodness usually predominates in them, since they spend their time and energy cultivating knowledge. And yet, the knowledge they possess often makes them proud, and they begin to feel that there can be no truth beyond the grasp of their intellect. Thus, they find it difficult to develop faith toward either the scriptures or the God-realized Saints.In the mode of passion, the souls are impelled toward intense activity. Their attachment to the world and preference for pleasure, prestige, wealth, and bodily comforts, propels them to work hard in the world for achieving these goals, which they consider to be the most important in life.Rajo guṇaincreases the attraction between man and woman, and generateskām(lust). To satiate that lust, man and woman enter into the relationship of marriage and have a home. The upkeep of the home creates the need for wealth, so they begin to work hard for economic development. They engage in intense activity, but each action creates karmas, which further bind them in material existence.The mode of ignorance clouds the intellect of the living being. The desire for happiness now manifests in perverse manners. For example, everyone knows that cigarette smoking is injurious to health. Every cigarette pack carries a warning to that extent issued by the government authorities. Cigarette smokers read this, and yet do not refrain from smoking. This happens because the intellect loses its discriminative power and does not hesitate to inflict self-injury to get the pleasure of smoking. As someone jokingly said, “A cigarette is a pipe with a fire at one end and a fool at the other.” That is the influence oftamo guṇa, which binds the soul in the darkness of ignorance."
